Year,Shipping emissions (Mt CO2),Number of ships,Within EU emissions,EU outbound emissions,EU inbound emissions,Emissions at berth,ETS relevant emissions,Bulk carrier,Chemical tanker,Combination carrier,Container ship,LPG carrier,General cargo ship,LNG carrier,Oil tanker,Other ship types,Cruise ship,Refrigerated cargo carrier,Ferry,Ro-ro ship,Vehicle carrier,Fuel Bulk carrier,Fuel Chemical tanker,Fuel Combination carrier,Fuel Container ship,Fuel LPG carrier,Fuel General cargo ship,Fuel LNG carrier,Fuel Oil tanker,Fuel Other ship types,Fuel Cruise ship,Fuel Refrigerated cargo carrier,Fuel Ferry,Fuel Ro-ro ship,Fuel Vehicle carrier,Fuel All ship types
2018,132832892.20235643,12162.710112723411,37544781.39388938,41607977.067351125,46487527.28453829,8147298.076812732,92462129.89145066,17682857.732029058,9025043.243629467,94879.26567351312,42168321.45281032,6279040.386101557,13974679.254404644,6058987.404721911,5190343.005825815,2202183.1248736694,17224144.05204166,1060553.5189815285,1517135.3148327048,5937692.201061408,4417032.245369157,5632630.506101229,2869241.429224532,30317.841397325534,13490620.469039692,1998287.5403866868,4446761.256525543,1930689.8788798992,1807878.936460673,712703.2957257548,5473707.326736742,339914.7824876856,485821.57360323204,1882530.2547359585,1409381.2036585724,42510486.29496353
2019,134431806.26782104,12319.493777191645,38133894.24833728,42378975.895766295,46388461.29932034,8361826.517555319,96179359.49348532,16406869.240351532,9167700.114130644,101204.45336522252,41494581.76245887,6683059.358885766,14132944.20056326,6400437.823858923,6779980.702975499,2577430.3108277624,18135599.154946025,1140357.7905270762,1460382.9099290227,5779214.605960832,4172043.8390406137,5219950.518996529,2893008.924345122,31815.936432282182,13273422.060231287,2128261.645199297,4510974.536179056,2037476.9799994247,2349115.640214719,840827.2374664758,5752912.044026129,366177.59145973297,467537.51201063755,1845925.989904023,1331206.2729932263,43048612.88945795
2020,118021224.57935613,12022.658119560638,30991384.810112674,38165051.286556154,41522346.73689496,7422903.766548121,80825898.493379,14218417.874233546,8735313.828276297,102675.69103217249,38512970.38218959,1160480.766667886,11531183.640088338,6069806.171962196,7243567.533604994,2304318.198104775,17024070.745715134,1030710.620329408,1446376.724634805,4901363.795068064,3739968.6074489024,4516472.143815815,2769761.302290337,32584.146681833274,12294503.511707975,368378.1187995553,3689052.290670926,1923981.744342975,2536474.915653636,748329.871567605,5405633.466736693,331259.0741145474,462006.65202439355,1560753.6942310326,1193000.5581984657,37832191.49083579
2021,126785477.45999996,12484.0,32644930.066385046,41728956.1044718,44561211.017452,7846595.239756951,83988126.92,16374171.94,8844386.46,52049.41,42078985.48,2536776.7399999998,12964016.83,6295663.17,6768124.0,2438688.88,16264200.85,1048847.71,1554039.6,5494802.8,4070723.59,5206613.99,2802633.29,16542.3,13466284.71,807490.57,4151162.18,1995953.15,2378785.98,785262.51,5172237.82,337622.88,496586.4,1754741.22,1313636.84,40685553.84
2022,137581344.37,13477.0,36145127.28578415,44483005.737327226,48126665.922986954,8822882.495015606,91407366.83000001,18997588.03,8901659.74,46603.94,39472768.94,6951885.84,14163606.85,5696739.67,10797266.69,2780761.09,16989360.81,1594049.87,1202027.73,5598459.11,4388566.06,6045045.12,2827301.28,14856.89,12735116.16,2207817.27,4517988.41,1806006.37,3754653.76,894726.68,5403992.58,507884.8,384433.99,1790572.02,1412874.31,44303269.64000001
2023,128258389.47000001,12807.0,35138200.14582053,40709972.94238897,44055338.75044071,8351465.892489111,86091405.90999998,14887888.64,7908653.75,38571.45,37372236.31,7402543.38,13293980.09,5052038.42,10029637.61,2578757.02,16809980.08,2287095.65,1060610.6,5369815.79,4166580.68,4742591.1,2521915.24,12269.22,11992714.91,2373236.03,4252970.16,1605031.81,3549662.21,835633.91,5357398.16,730629.74,338965.05,1721167.92,1351413.66,41385599.12
2024,145284638.54999998,13754.0,35095890.16328466,48942391.85469655,53273899.38453468,7834615.250900818,93718616.18000002,14933630.94,8374182.83,38892.36,54580898.72,7214066.15,13433042.54,5249213.83,7866605.98,2553113.78,18174489.82,2350092.66,893638.35,5277447.94,4345322.65,4763713.98,2673428.74,12425.68,17557150.66,2323650.48,4314277.97,1669258.94,2846478.76,831083.6,5812468.47,748967.89,285413.1,1696842.61,1407935.14,46943096.02
