Year,Shipping emissions (Mt CO2),Number of ships,Within EU emissions,EU outbound emissions,EU inbound emissions,Emissions at berth,Emissions in the scope of EU ETS,Bulk carrier,Chemical tanker,Combination carrier,Container ship,LPG carrier,General cargo ship,LNG carrier,Oil tanker,Other ship types,Cruise ship,Refrigerated cargo carrier,Ferry,Ro-ro ship,Vehicle carrier
2018,132832892.20235643,12162.710112723411,37.54478139388938,41.60797706735112,46.48752728453829,8.147298076812731,92.46212989145066,17682857.732029058,9025043.243629467,94879.26567351312,42168321.45281032,6279040.386101557,13974679.254404644,6058987.404721911,5190343.005825815,2202183.1248736694,17224144.05204166,1060553.5189815285,1517135.3148327048,5937692.201061408,4417032.245369157
2019,134431806.26782104,12319.493777191645,38.13389424833728,42.378975895766295,46.38846129932034,8.361826517555318,96.17935949348532,16406869.240351532,9167700.114130644,101204.45336522252,41494581.76245887,6683059.358885766,14132944.20056326,6400437.823858923,6779980.702975499,2577430.3108277624,18135599.154946025,1140357.7905270762,1460382.9099290227,5779214.605960832,4172043.8390406137
2020,118021224.57935613,12022.658119560638,30.991384810112674,38.16505128655616,41.52234673689496,7.422903766548122,80.825898493379,14218417.874233546,8735313.828276297,102675.69103217249,38512970.38218959,1160480.766667886,11531183.640088338,6069806.171962196,7243567.533604994,2304318.198104775,17024070.745715134,1030710.620329408,1446376.724634805,4901363.795068064,3739968.6074489024
2021,126785477.45999996,12484.0,32.644930066385044,41.728956104471806,44.561211017452,7.846595239756951,83.98812692,16374171.94,8844386.46,52049.41,42078985.48,2536776.7399999998,12964016.83,6295663.17,6768124.0,2438688.88,16264200.85,1048847.71,1554039.6,5494802.8,4070723.59
2022,137581344.37,13477.0,36.14512728578415,44.483005737327225,48.12666592298695,8.822882495015607,91.40736683000002,18997588.03,8901659.74,46603.94,39472768.94,6951885.84,14163606.85,5696739.67,10797266.69,2780761.09,16989360.81,1594049.87,1202027.73,5598459.11,4388566.06
2023,128258389.47000001,12807.0,35.13820014582053,40.709972942388966,44.05533875044071,8.351465892489111,86.09140590999998,14887888.64,7908653.75,38571.45,37372236.31,7402543.38,13293980.09,5052038.42,10029637.61,2578757.02,16809980.08,2287095.65,1060610.6,5369815.79,4166580.68
2024,145284638.54999998,13754.0,35.09589016328466,48.94239185469655,53.27389938453468,7.834615250900818,93.71861618000003,14933630.94,8374182.83,38892.36,54580898.72,7214066.15,13433042.54,5249213.83,7866605.98,2553113.78,18174489.82,2350092.66,893638.35,5277447.94,4345322.65
