Year,Shipping emissions (Mt CO2),Number of ships,Within EU emissions,EU outbound emissions,EU inbound emissions,Emissions at berth,Emissions in the current scope of EU ETS,Bulk carrier,Chemical tanker,Combination carrier,Container ship,Cruise ship,Ferry,General cargo ship,LNG carrier,LPG carrier,Oil tanker,Other ship types,Refrigerated cargo carrier,Ro-ro ship,Vehicle carrier
2018,132832892.2,12162.71011,37.54478139,41.60797707,46.48752728,8.147298077,92.46212989,"17,682,858","9,025,043","94,879","42,168,321","6,279,040","13,974,679","6,058,987","5,190,343","2,202,183","17,224,144","1,060,554","1,517,135","5,937,692","4,417,032"
2019,134431806.3,12319.49378,38.13389425,42.3789759,46.3884613,8.361826518,96.17935949,"16,406,869","9,167,700","101,204","41,494,582","6,683,059","14,132,944","6,400,438","6,779,981","2,577,430","18,135,599","1,140,358","1,460,383","5,779,215","4,172,044"
2020,118021224.6,12022.65812,30.99138481,38.16505129,41.52234674,7.422903767,80.82589849,"14,218,418","8,735,314","102,676","38,512,970","1,160,481","11,531,184","6,069,806","7,243,568","2,304,318","17,024,071","1,030,711","1,446,377","4,901,364","3,739,969"
2021,126785477.5,12484,32.64493007,41.7289561,44.56121102,7.84659524,83.98812692,"16,374,172","8,844,386","52,049","42,078,985","2,536,777","12,964,017","6,295,663","6,768,124","2,438,689","16,264,201","1,048,848","1,554,040","5,494,803","4,070,724"
2022,137581344.4,13477,36.14512729,44.48300574,48.12666592,8.822882495,91.40736683,"18,997,588","8,901,660","46,604","39,472,769","6,951,886","14,163,607","5,696,740","10,797,267","2,780,761","16,989,361","1,594,050","1,202,028","5,598,459","4,388,566"
2023,128258389.5,12807,35.13820015,40.70997294,44.05533875,8.351465892,86.09140591,"14,887,889","7,908,654","38,571","37,372,236","7,402,543","13,293,980","5,052,038","10,029,638","2,578,757","16,809,980","2,287,096","1,060,611","5,369,816","4,166,581"
2024,145284638.5,13754,35.09589016,48.94239185,53.27389938,7.834615251,93.71861618,"14,933,631","8,374,183","38,892","54,580,899","7,214,066","13,433,043","5,249,214","7,866,606","2,553,114","18,174,490","2,350,093","893,638","5,277,448","4,345,323"
