year,Emissions,EU 27 (tons of goods handled),Total Emissions (excluding UK) (tons CO2),Number of ships,Total CO2 Emissions (mt),Total at berth CO2 Emissions,Intra-EU CO2 Emissions,Inbound CO2 Emissions,Outbound CO2 Emissions,ETS relevant emissions,Passenger ship (cruise),Ro-pax ship,Ro-ro ship,General cargo ship,Vehicle carrier,Container ship,Other ship types,Gas carrier,Bulk carrier,Chemical tanker,Refrigerated cargo carrier,Oil tanker,LNG carrier,Fuel Passenger ship (cruise),Fuel Ro-pax ship,Fuel Ro-ro ship,Fuel General cargo ship,Fuel Vehicle carrier,Fuel Container ship,Fuel Other ship types,Fuel Gas carrier,Fuel Bulk carrier,Fuel Chemical tanker,Fuel Refrigerated cargo carrier,Fuel Oil tanker,Fuel LNG carrier,Fuel All ship types
2018,132.4160449,"3,584,537,000","132,416,045",12257,132.4160449,7.973542627,42.76074682,43.3072765,38.67090207,91.72337872,6.253952753,14.03113254,5.81625084,5.800257224,4.649098383,41.37156954,1.058786948,2.369999606,16.99542702,8.686011845,1.625318862,17.3760579,5.585871011,7.504743303,16.83735905,6.979501008,6.960308668,5.57891806,49.64588345,1.270544337,2.843999527,20.39451243,10.42321421,1.950382635,20.85126948,6.703045213,158.8992538
2019,134.1564527,"3,532,923,000","134,156,453",12419,134.1564527,9.50705978,44.35562598,43.59515709,39.44468077,95.38260469,6.656357485,14.19003683,5.661014527,6.127127066,4.391238549,40.82611555,1.138458289,2.773842353,15.7730786,8.823309721,1.56451957,18.29555187,7.29664641,7.987628982,17.02804419,6.793217432,7.35255248,5.269486259,48.99133866,1.366149946,3.328610823,18.92769432,10.58797167,1.877423484,21.95466225,8.755975692,160.9877432
2020,118.1493783,"3,265,935,000","118,149,378",12117,118.1493783,7.481021238,35.02036473,39.40616643,36.58645039,80.49769438,1.155844116,11.57776598,4.801118065,5.810614009,3.936462548,38.03652038,1.028993759,2.479917841,13.66091554,8.407166297,1.549514634,17.17421998,7.795560689,1.387012939,13.89331917,5.761341678,6.972736811,4.723755058,45.64382445,1.23479251,2.975901409,16.39309865,10.08859956,1.859417561,20.60906398,9.354672827,141.7792539
2021,126.7872676,"3,403,960,000","126,787,268",12485,126.7872676,8.03891904,33.12924471,44.17446857,41.46738038,83.98908823,2.53677674,12.96401683,5.4948028,6.29566317,4.07072359,40.77729951,1.04884771,2.43868888,16.37417194,8.84617661,1.5540396,16.26420085,6.768124,3.044132088,15.5568202,6.59376336,7.554795804,4.884868308,48.93275941,1.258617252,2.926426656,19.64900633,10.61541193,1.86484752,19.51704102,8.1217488,152.1447211
2022,137.51637,"3,461,229,000","137,516,370",13470,137.51637,8.77389893,36.51660775,47.9229486,44.23220058,91.36808127,6.95188584,14.16360685,5.59845911,5.68757154,4.38856606,38.3749322,1.59404987,2.78076109,18.99534306,8.89087334,1.20202773,16.98936081,10.79726669,8.342263008,16.99632822,6.718150932,6.825085848,5.266279272,46.04991864,1.912859844,3.336913308,22.79441167,10.66904801,1.442433276,20.38723297,12.95672003,165.0196439
2023,126.9214066,"3,283,419,000","126,921,407",12589,126.9214066,8.17602491,35.55222866,43.23725138,39.88882832,85.29129342,7.39713726,13.32189162,5.32961328,4.93757528,4.16061864,35.99815097,2.26275744,2.55297853,14.62761204,7.85316809,1.0592229,16.69239657,9.61036781,8.876564712,15.98626994,6.395535936,5.925090336,4.992742368,43.19778116,2.715308928,3.063574236,17.55313445,9.423801708,1.27106748,20.03087588,11.53244137,152.3056879
